meal_type,sspg_pearson_r,sspg_r2,sspg_rmse,di_pearson_r,di_r2,di_rmse
Cornflakes,0.6211832525160182,0.2587340896848036,68.72283095443035,0.5817072145160378,-0.12372072178966365,0.768541031957586
PB_sandwich,0.4868225026078314,0.0796505790238321,76.57559837092661,0.5433193317140169,-0.3134241581024977,0.8308839397001242
Protein_bar,0.5677490346025504,0.15055164971308954,73.56691018510287,0.39138626068729604,-0.31916215272403514,0.8326969152702143
