feature,importance
z_init_0,31.924033460329223
z_nonseq_1,3.692777019739056
z_init_3,3.4080308000389645
z_nonseq_8,3.2680697284902487
z_nonseq_6,3.094828499716815
z_nonseq_14,2.8591610603188538
z_nonseq_5,1.8352565155647724
z_nonseq_4,1.0026431191226943
z_nonseq_3,0.7906832226198716
z_nonseq_9,0.6345634538896767
z_nonseq_11,0.5529447999423208
z_nonseq_7,0.47370077888566636
Gb,0.37286321627804536
z_nonseq_10,0.27851690373940563
si,0.14685190783666177
z_nonseq_12,0.1453075527650754
z_nonseq_0,0.10863165847137639
z_nonseq_13,0.08265043958670232
sg,0.07452246944813257
z_nonseq_15,0.06167080544043952
z_init_2,0.05385475839576594
z_nonseq_2,0.049361273601592766
z_init_1,0.044411531071470535
p2,0.03762831781051988
tau_m,0.03339173117076585
mi,0.0005632017799929019
