feature,importance
z_init_0,1.1970406125944872
z_nonseq_14,0.1354192004259841
z_init_3,0.12491956125515537
z_nonseq_1,0.1229451258524657
z_nonseq_6,0.11895899697946637
z_nonseq_8,0.10739205644849188
z_nonseq_5,0.05551148827824464
z_nonseq_11,0.031332054632295506
Gb,0.02722400437454425
z_nonseq_4,0.023178721712840203
z_nonseq_15,0.01693129523253377
z_nonseq_13,0.005330263690665219
mi,0.0044506553509083245
z_nonseq_9,0.0042197340637006924
z_nonseq_0,0.004179410650177114
z_nonseq_12,0.00402249188982843
z_nonseq_2,0.003847175688138688
z_init_2,0.00373096077065656
si,0.002789497295427098
tau_m,0.0027843614273308725
z_nonseq_3,0.0018319707391820652
p2,0.0016759336406338492
z_init_1,0.001654928381296298
z_nonseq_10,0.0016488164590881653
sg,0.0009940622720009274
z_nonseq_7,0.0008363031191817765
