feature,importance
z_init_0,22.430244557501013
Gb,22.417174588632438
z_init_3,6.363040457038841
tau_m,5.343150388481963
z_nonseq_12,1.8006025916498354
z_nonseq_6,1.6720722958337495
z_nonseq_4,1.4562765198076633
z_nonseq_11,0.9725115227450588
z_nonseq_8,0.8506387240027005
z_nonseq_0,0.815957369845343
z_nonseq_2,0.5903750418288022
z_nonseq_7,0.5700307558758592
z_nonseq_3,0.567226724266004
z_nonseq_13,0.5032097925889198
z_nonseq_14,0.49030765256680225
z_nonseq_10,0.48953808123534875
z_nonseq_15,0.2661664749769826
z_init_2,0.20198125998750438
p2,0.17315431246334487
z_nonseq_5,0.16650832025007412
z_nonseq_1,0.10987483764383414
z_nonseq_9,0.10807484072940887
si,0.10783178635494785
z_init_1,0.09497896575924648
mi,0.0591992146157281
sg,0.03209585631871643
