target,fold_id,spearman_r,rmse,r2
sspg,0,0.5392156862745099,74.92379597626882,0.09054314991716583
sspg,1,0.2501533272146594,65.60882274208072,0.07559599814903717
sspg,2,0.09821993328791444,105.09669588662163,-3.856465013108978
sspg,3,0.8138339215775222,80.44173197577712,0.17466941838993366
sspg,4,0.5091980775150501,74.11779963335401,0.10601992052812614
di,0,0.45604395604395603,1.528053683499011,-0.018283565362049004
di,1,0.46703296703296704,8.0931845770772,-49.32964933184631
di,2,0.5549450549450549,0.922501141522336,0.1957321331657199
di,3,0.34965034965034975,0.9840475766585778,-0.8937057174759373
di,4,0.3426573426573427,0.683506112568599,-0.588593252385468
homa_ir,0,0.21954887218045113,1.0489534357366428,-0.13151334198467945
homa_ir,1,0.4240601503759398,1.0843046588331595,0.06601135431269478
homa_ir,2,0.4,1.6356765229362422,-0.1724611075580249
homa_ir,3,0.6827556602864521,1.3818673169921234,0.14774379536822468
homa_ir,4,0.443859649122807,1.149820441175037,0.21725579966405872
homa_b,0,0.44060150375939844,56.48139335771404,0.04314513554505084
homa_b,1,-0.13984962406015036,62.03277347069395,-0.8638030817635625
homa_b,2,0.5228070175438596,37.70982309090061,0.11499564102240223
homa_b,3,0.4473684210526316,56.64847862320695,0.0034535607009219538
homa_b,4,0.3596491228070175,51.39690033410806,0.03128162449902783
