feature_combo,sspg_lodo_pearson_r,di_lodo_pearson_r
Tier 1: CGM stats,0.14961305670562972,0.18156340407215887
Tier 2: 6D ODE params,-0.052429456309542176,0.07103384481611572
Tier 3: 26D full latent,0.1405091333069688,0.38132074707665203
Tier 4: 26D + demographics,0.30153444687615333,0.4329868226141194
