target,method,spearman_r,rmse
sspg,Ridge_linear,0.6305275534079476,55.99944320486397
sspg,Ridge_log_target,0.5959155936254115,64.16041010102751
sspg,Ridge_poly2,0.5647802086520424,66.79310886773925
sspg,GradientBoosting,0.4695991614975338,57.16138694143886
di,Ridge_linear,0.3859140859140859,1.0611091126112913
di,Ridge_log_target,0.32867132867132864,1.0497938560498592
di,Ridge_poly2,0.20149850149850151,1.1503112628931191
di,GradientBoosting,0.2186414700862497,1.1968857522664318
