scenario,target,method,spearman_r,rmse,n_folds
paper1_results_v3_best_DI_run,di,GradientBoosting,0.6319085298154914,1.0618055707316398,5
paper1_results_v3_best_DI_run_D1D2,sspg,Ridge_linear,0.30794918693550033,67.3438502302401,5
paper1_results_v3_best_DI_run_D1D2,sspg,Ridge_log_target,0.2882409883983019,70.21941686559394,5
paper1_results_v3_best_DI_run_D1D2,sspg,Ridge_poly2,0.35533541917554234,73.54371479936212,5
paper1_results_v3_best_DI_run_D1D2,sspg,GradientBoosting,0.12686366604338115,77.53357067805848,5
paper1_results_v3_best_DI_run_D1D2,di,Ridge_linear,0.39450549450549444,1.0911981348551583,5
paper1_results_v3_best_DI_run_D1D2,di,Ridge_log_target,0.3972027972027972,1.093423242941252,5
paper1_results_v3_best_DI_run_D1D2,di,Ridge_poly2,0.24405594405594405,6.319728162308933,5
paper1_results_v3_best_DI_run_D1D2,di,GradientBoosting,0.19735989522870512,1.2084600094786286,5
paper1_results_v4_best_SSPG_run,sspg,Ridge_linear,0.5039590144433947,54.15072756234059,5
paper1_results_v4_best_SSPG_run,sspg,Ridge_log_target,0.5096383818394024,61.25730508591273,5
paper1_results_v4_best_SSPG_run,sspg,Ridge_poly2,0.42325856013608065,70.9310258424742,5
paper1_results_v4_best_SSPG_run,sspg,GradientBoosting,0.54667233039282,55.65663910288155,5
paper1_results_v4_best_SSPG_run,di,Ridge_linear,0.4333333333333334,1.128252172306405,5
paper1_results_v4_best_SSPG_run,di,Ridge_log_target,0.4397058823529413,1.2292001909290906,5
paper1_results_v4_best_SSPG_run,di,Ridge_poly2,0.4318627450980392,1.3502065973975745,5
paper1_results_v4_best_SSPG_run,di,GradientBoosting,0.6027425275581665,1.0037409220453537,5
paper1_results_v4_best_SSPG_run_D1D2,sspg,Ridge_linear,0.6305275534079476,55.99944320486397,5
paper1_results_v4_best_SSPG_run_D1D2,sspg,Ridge_log_target,0.5959155936254115,64.16041010102751,5
paper1_results_v4_best_SSPG_run_D1D2,sspg,Ridge_poly2,0.5647802086520424,66.79310886773925,5
paper1_results_v4_best_SSPG_run_D1D2,sspg,GradientBoosting,0.4695991614975338,57.16138694143886,5
paper1_results_v4_best_SSPG_run_D1D2,di,Ridge_linear,0.3859140859140859,1.0611091126112913,5
paper1_results_v4_best_SSPG_run_D1D2,di,Ridge_log_target,0.32867132867132864,1.0497938560498592,5
paper1_results_v4_best_SSPG_run_D1D2,di,Ridge_poly2,0.20149850149850151,1.1503112628931191,5
paper1_results_v4_best_SSPG_run_D1D2,di,GradientBoosting,0.2186414700862497,1.1968857522664318,5
paper1_results_v4_best_DI_run,sspg,Ridge_linear,0.5039590144433947,54.15072756234059,5
paper1_results_v4_best_DI_run,sspg,Ridge_log_target,0.5096383818394024,61.25730508591273,5
paper1_results_v4_best_DI_run,sspg,Ridge_poly2,0.42325856013608065,70.9310258424742,5
paper1_results_v4_best_DI_run,sspg,GradientBoosting,0.54667233039282,55.65663910288155,5
paper1_results_v4_best_DI_run,di,Ridge_linear,0.4333333333333334,1.128252172306405,5
paper1_results_v4_best_DI_run,di,Ridge_log_target,0.4397058823529413,1.2292001909290906,5
paper1_results_v4_best_DI_run,di,Ridge_poly2,0.4318627450980392,1.3502065973975745,5
paper1_results_v4_best_DI_run,di,GradientBoosting,0.6027425275581665,1.0037409220453537,5
paper1_results_v4_best_DI_run_D1D2,sspg,Ridge_linear,0.6305275534079476,55.99944320486397,5
paper1_results_v4_best_DI_run_D1D2,sspg,Ridge_log_target,0.5959155936254115,64.16041010102751,5
paper1_results_v4_best_DI_run_D1D2,sspg,Ridge_poly2,0.5647802086520424,66.79310886773925,5
paper1_results_v4_best_DI_run_D1D2,sspg,GradientBoosting,0.4695991614975338,57.16138694143886,5
paper1_results_v4_best_DI_run_D1D2,di,Ridge_linear,0.3859140859140859,1.0611091126112913,5
paper1_results_v4_best_DI_run_D1D2,di,Ridge_log_target,0.32867132867132864,1.0497938560498592,5
paper1_results_v4_best_DI_run_D1D2,di,Ridge_poly2,0.20149850149850151,1.1503112628931191,5
paper1_results_v4_best_DI_run_D1D2,di,GradientBoosting,0.2186414700862497,1.1968857522664318,5
