target,true_bin,n,mae_10d,mae_26d,mae_met
sspg,Q1_low,5,77.23504739872799,74.02090721462277,26.331294433884846
sspg,Q2,5,60.374084989526956,65.10937413896684,23.570477967275266
sspg,Q3,5,19.83396123027384,28.062183739681256,27.550977165634436
sspg,Q4_high,5,84.26027951960887,68.99754291069286,105.16088563198828
di,Q1_low,4,0.511280623302576,0.40601578582936704,1.0647885645023263
di,Q2,4,0.2805798071622586,0.16484386346650956,0.7428493312030493
di,Q3,4,0.15062219411125122,0.28951427250561285,0.35298851478189763
di,Q4_high,4,0.8747111522683443,1.0329203974388719,0.48878210538725153
