model,target,n,calibration_slope_true_on_pred,calibration_intercept,corr
Ridge10D,sspg,20,4.1343604728471535,-434.72706157526136,0.5253391237776113
Ridge10D,di,16,1.7955117128277882,-1.110142478369796,0.6092185915429451
Ridge26D,sspg,20,2.7248583376394047,-270.69339845048876,0.6469882063679966
Ridge26D,di,16,2.0453522479061554,-1.178671460497609,0.6156322741242416
Metwally14,sspg,20,2.114424600463565,-88.8426043799412,0.5678517055791129
Metwally14,di,16,2.007073434781006,-2.3789842081728287,0.5655071089203972
