model,target,n,spearman,pearson,r2,rmse,mae
Ridge10D,sspg,20,0.6090225563909774,0.5253391237776113,0.08236062125341026,76.46277377788584,60.425843284534416
Ridge10D,di,16,0.6470588235294118,0.6092185915429451,0.29340550979220503,0.6094288193293391,0.45429844421110754
Ridge26D,sspg,20,0.7789473684210525,0.6469882063679967,0.16035103605406853,73.1413388173112,59.04750200099094
Ridge26D,di,16,0.6088235294117647,0.6156322741242415,0.2073516310994975,0.6454731026249682,0.4733235798100903
Metwally14,sspg,20,0.8270676691729323,0.5678517055791129,0.16561101052910754,72.91188221830443,45.65340879969571
Metwally14,di,16,0.6029411764705882,0.5655071089203972,-0.10872466847307205,0.7633957181153942,0.6623521289686313
