target,fold_id,spearman_r,rmse,r2
sspg,0,0.6102941176470589,72.07799755382572,0.15831811789710126
sspg,1,0.46106691682701917,59.19907420022482,0.2473949003436655
sspg,2,0.12645816410818983,75.63097913765955,-1.5150208227410156
sspg,3,0.8609273853939431,71.20985343934618,0.3532368075989166
sspg,4,0.6431201152429967,65.35804068246854,0.30484627430377387
di,0,0.6348039215686275,0.7378604915257546,0.3149223173279614
di,1,0.6642156862745099,0.8649577339433905,0.32486055559599014
di,2,0.7647058823529413,1.5234469624106968,0.1309447849572093
di,3,0.7303921568627452,0.7565365696771893,0.405129095549972
di,4,0.7769607843137256,1.048001902565308,0.2982369661219747
homa_ir,0,0.41503759398496237,0.9354606391102092,0.10009161812804734
homa_ir,1,0.6090225563909774,1.0282894607229378,0.16001850550826902
homa_ir,2,0.5894736842105263,1.5443363420329592,-0.045171089161223366
homa_ir,3,0.5800790378526283,1.3749077170140651,0.15630673902041625
homa_ir,4,0.4982456140350877,1.1648189196851686,0.19670208385083854
homa_b,0,0.5609022556390978,52.446482580773356,0.1749733093885969
homa_b,1,0.20902255639097742,52.99635608312233,-0.3603468233881295
homa_b,2,0.31578947368421056,39.00122515170521,0.053342414130191806
homa_b,3,0.5666666666666667,54.00534145379338,0.09427892612409061
homa_b,4,0.27543859649122804,51.30372671736782,0.034790675906946955
