feature,importance
Gb,5.261355865980131
z_init_0,4.438303219856691
z_nonseq_0,1.6196644015376307
z_nonseq_10,1.3667310079731116
z_nonseq_4,1.2877057617291106
z_nonseq_2,0.7886321609842049
z_nonseq_7,0.5695276526355322
z_nonseq_8,0.5174277546806288
z_nonseq_5,0.40076518780706166
z_nonseq_13,0.31887910554096527
z_nonseq_6,0.3181785880142391
z_nonseq_11,0.2819769867952017
z_nonseq_1,0.2512252061016373
z_nonseq_14,0.20279238070311267
tau_m,0.14305700978461383
z_nonseq_3,0.1109014785240301
z_nonseq_12,0.10681969230951403
z_init_3,0.03265251503350603
sg,0.023548249376726883
z_nonseq_15,0.02182697663609405
si,0.01180227502325167
p2,0.010830700803193314
z_init_1,0.007419392444339607
z_nonseq_9,0.0059903184177196684
z_init_2,0.00486345980144413
mi,0.004294731190580524
