meal_type,n_sspg,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,n_di,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Cornflakes,20,0.7460273602862879,0.6270676691729322,0.16607903902258292,72.8914303514166,46.920627212524415,16,-0.6032837061028191,-0.538235294117647,-497.4790167115231,16.186811349665025,15.409178787519716
PB_sandwich,20,0.5042026662828765,0.48872180451127817,-0.00804008121036115,80.14066239691044,52.93265781402588,16,-0.6866683652107277,-0.5970588235294118,-447.3019382884713,15.35052286033632,14.736681991865419
Protein_bar,20,0.8435629620373665,0.837593984962406,0.17991025062724242,72.28442308117738,45.90173454284668,16,-0.5752508308505812,-0.5264705882352941,-481.29648554733603,15.921900775148279,15.347218388368868
