dataset,pair,n,pearson_r,pearson_p,spearman_r,spearman_p
D1,sspg~di,32,-0.6035447811658974,0.00025524289584273217,-0.5604546728103145,0.0008493788407950374
D1,sspg~homa_ir,32,0.6317198342977336,0.000105446931543122,0.5725547736953261,0.0006161790985451225
D1,sspg~homa_b,32,0.12485223674266041,0.4959709447656562,0.052062329014112285,0.777189432018345
D1,di~homa_ir,32,-0.17453305623526744,0.33938187902500044,-0.09074243813015583,0.6213661809678241
D1,di~homa_b,32,0.1536235517271513,0.4012164215053633,0.14902392143974597,0.4156294111217814
D1,homa_ir~homa_b,32,0.34751631178119047,0.05131194344703524,0.33819081802746775,0.05833212631809883
D2,sspg~di,41,-0.6253974784224214,1.2319484793259127e-05,-0.6817092883925483,9.241813345188496e-07
D2,sspg~homa_ir,39,0.6420070640974547,1.056292192326475e-05,0.7590605541290842,2.13680364831275e-08
D2,sspg~homa_b,39,0.3781859418863394,0.017603820177108778,0.24387528339516726,0.13461631866709237
D2,di~homa_ir,38,-0.43185353110983216,0.006781601693019858,-0.5415253309990152,0.00044633510590830807
D2,di~homa_b,38,-0.019023446327735227,0.9097442289047168,0.0966188860925703,0.5639019130600809
D2,homa_ir~homa_b,49,0.6812020397123099,7.165929437936042e-08,0.47367346938775506,0.0005866499017150175
D4,sspg~di,35,-0.6440681714852527,2.9826391460465577e-05,-0.7146158712111014,1.4205563070954657e-06
D4,sspg~homa_ir,39,0.36446470955117394,0.022541288162279023,0.4931659436028522,0.0014229990422949597
D4,sspg~homa_b,39,0.35887641335570025,0.02485880369086316,0.41765808207098404,0.008155907926016472
D4,di~homa_ir,33,-0.005844659786687272,0.9742482542730441,-0.2262889621003349,0.20540202163342022
D4,di~homa_b,33,-0.07112596802892351,0.6940743419534218,-0.10513120654952818,0.5603891739718869
D4,homa_ir~homa_b,53,0.48214791257468714,0.0002564295782428771,0.6521230700087975,1.2236702776367423e-07
D1+D2+D4,sspg~di,108,-0.6069636532279342,3.3243768802047127e-12,-0.6622066560390054,5.985156866816929e-15
D1+D2+D4,sspg~homa_ir,110,0.5388613140386365,1.2567517599205063e-09,0.5929491518850847,8.792909114281527e-12
D1+D2+D4,sspg~homa_b,110,0.29418268277179827,0.0018115734138613516,0.24030544907735146,0.011447829748996205
D1+D2+D4,di~homa_ir,103,-0.2475610574509725,0.011696117635627385,-0.2881948353273449,0.0031565573117913674
D1+D2+D4,di~homa_b,103,0.01027940274152613,0.9179200701062734,0.030257767625194006,0.7615815599503344
D1+D2+D4,homa_ir~homa_b,134,0.5185581064144007,1.3803599594559456e-10,0.5324598242407645,3.5516679850429105e-11
