experiment,d4_sspg_pearson_r,d4_sspg_spearman_r,d4_sspg_r2,d4_sspg_rmse,d4_sspg_mae,sspg_pred_std,sspg_true_std,sspg_compression_ratio,d4_di_pearson_r,d4_di_spearman_r,d4_di_r2,d4_di_rmse,d4_di_mae,di_pred_std,di_true_std,di_compression_ratio,protein_sspg_spearman,protein_sspg_pearson,protein_di_pearson,shap_10d_share,shap_16d_share
v17_Exp1_Wang_Baseline,0.15980875068771663,0.10390897839923656,-0.007745227122011089,80.12894087383452,63.51176289525582,0.05845114338249845,79.82042345164551,0.0007322830530698402,0.28713746207828567,0.18151504736054436,-0.10165585977446567,0.7609582658047429,0.628409509063464,0.0013941057872651629,0.7249997627411936,0.0019229051634363403,,,,,
v17_Exp2_GV_Baseline,0.6660229937135946,0.7593984962406014,0.13500452694240728,74.23709084744526,59.09049937109531,12.94234553887586,79.82042345164551,0.1621432833755413,0.6801560397756926,0.6588235294117648,0.30837757123607645,0.6029376428649018,0.4413722698009944,0.2237492648773233,0.7249997627411936,0.30861977668976986,0.8105263157894737,0.4986712958251553,0.622211559051545,90.47661135690278,9.523388643097244
v17_Exp3_VarMatch,0.6391914066903734,0.732330827067669,0.10561980250815417,75.48751255856692,66.98620582447121,29.770400362403628,79.82042345164551,0.37296720657512256,0.6893758516109446,0.6588235294117648,0.293487588172317,0.6093934225185261,0.38591061457876175,0.4412041575366787,0.7249997627411936,0.6085576578239202,0.8210526315789473,0.56038708986964,0.6334259317406349,,
v17_Exp4_Ortho_16D,0.6660229937135946,0.7593984962406014,0.13500452694240728,74.23709084744526,59.09049937109531,12.94234553887586,79.82042345164551,0.1621432833755413,0.6801560397756926,0.6588235294117648,0.30837757123607645,0.6029376428649018,0.4413722698009944,0.2237492648773233,0.7249997627411936,0.30861977668976986,0.8105263157894737,0.4986712958251553,0.622211559051545,,
v17_Exp5_Finetune_16D,0.595231879098699,0.6105263157894737,0.1149972879725284,75.09073031433793,59.96451200341776,15.698464339994576,79.82042345164551,0.1966722758556219,0.6711856034891522,0.6647058823529411,0.3230196184447517,0.5965212319412089,0.4440929383581161,0.23810028196470104,0.7249997627411936,0.32841428949501156,0.6631578947368421,0.3604905543533479,0.5091070482415645,,
v17_Exp6_Combined,0.6197331217861766,0.6631578947368421,0.05515620823286849,77.58790659945612,68.20855260756478,25.899471925081205,79.82042345164551,0.32447174300911685,0.6695497799073621,0.6529411764705881,0.04588309671175461,0.708171849942239,0.4716402259205155,0.44696456740366614,0.7249997627411936,0.6165030533440616,0.5263157894736841,0.3544156069808855,0.628250480718595,94.37471084189036,5.625289158109649
