feature,mean_abs_shap,pct
Gb,0.13155073962958308,38.59611480206582
tau_m,0.1126292502242157,33.044675263436254
z_init_3,0.035664883969147736,10.463840491901196
z_init_0,0.021045461478995706,6.174598862712198
z_nonseq_0,0.004423090133073355,1.297705319154235
z_nonseq_4,0.0036886016366088196,1.0822112640834345
z_nonseq_3,0.0033746730594352726,0.9901067009440977
z_nonseq_13,0.0029961640174448138,0.879054657607669
z_nonseq_10,0.00267089199560777,0.7836220030131569
z_nonseq_2,0.002603004674618297,0.7637043131400916
z_init_2,0.00215344778360841,0.6318073019614827
z_nonseq_11,0.001813783139031962,0.5321519472809275
z_nonseq_7,0.0016823002365139146,0.49357573543761396
z_nonseq_5,0.001599168683887431,0.46918548907426927
z_nonseq_14,0.0015580414779210816,0.4571190395245743
z_nonseq_8,0.0013579618432403536,0.398417001273501
si,0.0013525918910788975,0.3968414929130862
sg,0.00124322935009017,0.36475524848046764
z_nonseq_15,0.0012056883127628303,0.35374095703250985
mi,0.001189321031092916,0.3489389051086018
z_nonseq_6,0.0010233910656155599,0.30025615338329975
z_nonseq_1,0.0010139509435490345,0.297486484158702
z_init_1,0.000947229827118957,0.2779109509712157
z_nonseq_12,0.0008128795708819387,0.23849347655783104
z_nonseq_9,0.0006358633855516637,0.1865581014313301
p2,0.0006037220181965775,0.17712803735244056
