feature,sspg_mean_abs_shap,di_mean_abs_shap,sspg_pct,di_pct
tau_m,0.25249790608178513,0.07949832844119614,36.65008816070141,9.876763107189197
Gb,0.18500107318831335,0.4263030576772087,26.852918296993277,52.963306211685314
sg,0.002102837365357026,0.0008449280528673724,0.3052269859338519,0.10497270048844443
si,0.004389807795000392,0.0011757219899119745,0.6371808986138154,0.14607008476741926
p2,0.002945153258031638,0.002247939371546085,0.4274891947764282,0.27928089920163834
mi,0.0026059165446713833,0.004170316220370492,0.37824896286744436,0.5181143578526319
z_init_0,0.08490108999559413,0.13124056095036507,12.323398960268204,16.30514698834437
z_init_1,0.0010012555008961325,0.0027895989052532104,0.14533230373540001,0.346575935513415
z_init_2,0.0024921070790711675,0.0009384267668668117,0.36172951123120317,0.1165888522630364
z_init_3,0.1027594030174879,0.12743941836350564,14.915534304320566,15.832898255531969
z_nonseq_0,0.004006760266743441,0.0022420599957537132,0.5815815239567884,0.2785504536305424
z_nonseq_1,0.004719044417738538,0.00042130038571462473,0.6849696166920408,0.05234178111994747
z_nonseq_2,0.003620844623020625,0.0011215948529420385,0.5255658421457329,0.13934540363254636
z_nonseq_3,0.0040737253941918825,0.0028116328617604,0.5913015167391564,0.34931340399863725
z_nonseq_4,0.0025197460028566205,0.0009078327535441248,0.36574130288968787,0.11278789407924415
z_nonseq_5,0.00265212140753444,0.0018239094059366865,0.3849556018398707,0.22659999882558265
z_nonseq_6,0.0006168943031386483,0.0020609719212707424,0.08954224986144121,0.25605232004364176
z_nonseq_7,0.0033354747507530957,0.0015279762188662503,0.48414438586789194,0.18983366623014694
z_nonseq_8,0.003231368736228,0.0019123693229861933,0.46903339081208284,0.23759013738963872
z_nonseq_9,0.002165333332003155,0.001984630289026555,0.31429827972322294,0.24656774053515912
z_nonseq_10,0.00580184016689115,0.002108399329382165,0.8421374929817633,0.26194463606951895
z_nonseq_11,0.0023183171368029443,0.002282071133249527,0.33650388934620223,0.2835213823839393
z_nonseq_12,0.0025418597820619487,0.0007584895497688823,0.36895111943834097,0.09423369961655415
z_nonseq_13,0.0038769627330086103,0.001798567982650735,0.5627414031484901,0.2234516152117122
z_nonseq_14,0.001977481977012157,0.0015266726948279115,0.2870316428296192,0.1896717181944631
z_nonseq_15,0.0007878271371260353,0.0029658791923555523,0.11435316228606589,0.36847675620129877
