ablation,target,n,spearman,r2,rmse,mae
full_26d,sspg,20,0.7789473684210525,0.16035103605407053,73.14133881731111,59.04750200099072
full_26d,di,16,0.6088235294117647,0.2073516310995006,0.6454731026249669,0.4733235798100902
zero_residual_16d,sspg,20,0.6105263157894737,-1.6044563210111598,128.81681783858193,108.57836228399313
zero_residual_16d,di,16,0.6058823529411764,-2.858337140385618,1.424091686672573,1.310861605447834
shuffle_residual_16d,sspg,20,0.675187969924812,0.20324832631759937,71.24846621880839,58.314252891721125
shuffle_residual_16d,di,16,0.5558823529411765,0.25310895644836684,0.6265655175777525,0.5092415126112859
