unc_bin,n_meals,win26_rate_sspg,mean_err10_sspg,mean_err26_sspg
low,114,0.22807017543859648,62.49299273077491,70.82957486503611
mid,117,0.21367521367521367,61.36875880082397,64.86330927251281
high,114,0.43859649122807015,59.19547090789152,56.421805800275685
