target,metric,comparison,delta,ci_lo,ci_hi
sspg,spearman,Ridge26D - Ridge10D,0.16992481203007515,-0.022866289696935837,0.505677517032551
sspg,spearman,Ridge26D - Metwally14,-0.048120300751879785,-0.27163399227898943,0.1501859401476038
di,spearman,Ridge26D - Ridge10D,-0.038235294117647145,-0.1905190905190905,0.07132243684992567
di,spearman,Ridge26D - Metwally14,0.00588235294117645,-0.1426448736998514,0.170422777037127
sspg,r2,Ridge26D - Ridge10D,0.07799041480065827,-0.19228038584884954,0.16941359841271622
sspg,r2,Ridge26D - Metwally14,-0.005259974475039009,-1.4732656978396566,0.3545640278983584
di,r2,Ridge26D - Ridge10D,-0.08605387869270753,-0.2542643794723328,0.07771294483978791
di,r2,Ridge26D - Metwally14,0.31607629957256955,-0.411116562250252,1.8589424500446095
sspg,rmse,Ridge26D - Ridge10D,-3.321434960574649,-8.327407385237725,3.297230012212441
sspg,rmse,Ridge26D - Metwally14,0.22945659900676674,-17.43002177816183,29.825712876241838
di,rmse,Ridge26D - Ridge10D,0.03604428329562903,-0.029348156024656378,0.07809125451385165
di,rmse,Ridge26D - Metwally14,-0.11792261549042604,-0.436478272658761,0.14556726642519743
sspg,mae,Ridge26D - Ridge10D,-1.3783412835434987,-6.779205309963624,4.066233469805013
sspg,mae,Ridge26D - Metwally14,13.394093201295213,-4.069996379902318,29.772845500624097
di,mae,Ridge26D - Ridge10D,0.01902513559898278,-0.04822446424659134,0.08508989470407263
di,mae,Ridge26D - Metwally14,-0.18902854915854084,-0.43140497288416063,0.06885702631111026
