model,meal_type,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Wang(Exp1),Cornflakes,20,,,-0.007943898413253159,80.13683896910558,63.52285571946503,16,,,-0.10312758615532269,0.7614663866312082,0.6288288415651415
Wang(Exp1),PB_sandwich,20,0.17230794288176515,0.10390897839923656,-0.006867135325180573,80.09402336814728,63.46289938847182,16,0.29081315336941943,0.18151504736054436,-0.09590974979934885,0.7589711359582113,0.6268530473524979
Wang(Exp1),Protein_bar,20,,,-0.007943898413253159,80.13683896910558,63.52285571946503,16,,,-0.10312758615532269,0.7614663866312082,0.6288288415651415
GV_Baseline(Exp5),Cornflakes,20,0.6535265172010323,0.6721804511278194,0.2786698056477096,67.7924115759039,48.198071839416244,16,0.6644715055090753,0.6147058823529412,0.12927484817444856,0.6765165248365332,0.5875879681066886
GV_Baseline(Exp5),PB_sandwich,20,0.32873377138565446,0.4015037593984962,-0.17581236513503673,86.55318204424873,72.04324494989918,16,0.6416227299631276,0.6911764705882353,-0.6550213780861849,0.932695042598313,0.7113777969799048
GV_Baseline(Exp5),Protein_bar,20,0.5844887667810951,0.7744360902255639,0.1134644487078621,75.15573137125071,59.6420842474882,16,0.5262390628960186,0.5676470588235295,0.23770494502788764,0.6329937409019128,0.5057715138211324
GV_CorrLoss(Exp8),Cornflakes,20,0.5089387119362334,0.6481203007518795,0.2515692019806465,69.05416094212359,46.08473525725829,16,0.6582940359168882,0.5852941176470587,0.2717658548410822,0.6186904088623398,0.5264301952653145
GV_CorrLoss(Exp8),PB_sandwich,20,0.3223848956699169,0.33082706766917286,-0.22312389647447883,88.27734296866805,75.78362399096146,16,0.5746515305133085,0.5882352941176471,-0.3786475060332124,0.8512644248817199,0.6114100132259488
GV_CorrLoss(Exp8),Protein_bar,20,0.6208427793362791,0.8150375939849623,0.2538893548855258,68.9470431071402,51.952272844619415,16,0.6541519315197574,0.538235294117647,0.2169074341550573,0.6415705421219565,0.5591234908866457
GV_CorrLoss+VarMatch(v19),Cornflakes,20,0.5684578605012416,0.6345864661654135,0.23890541441892932,69.6359241563769,46.08153983872815,16,0.6560164379204378,0.5705882352941177,0.19550169309423293,0.6502800518235528,0.5639076911087305
GV_CorrLoss+VarMatch(v19),PB_sandwich,20,0.28603621881949537,0.306766917293233,-0.8421867947127519,108.33801145098316,100.75724195220596,16,0.5621302562653007,0.611764705882353,-3.4993104510735975,1.5378389083286077,1.4149330410085272
GV_CorrLoss+VarMatch(v19),Protein_bar,20,0.6701502287811252,0.8030075187969924,0.36963499556442836,63.373847545816226,47.88383878773919,16,0.6260529588336902,0.6588235294117648,0.3290503441323237,0.5938583013159361,0.4236581196662158
Metwally(Exp2),Cornflakes,20,0.5602970681611786,0.7473684210526315,0.24329860766887168,69.4346569154001,45.02480492521649,16,0.5854865576453967,0.5882352941176471,0.04183815215339959,0.7096713969454705,0.5955358597621875
Metwally(Exp2),PB_sandwich,20,0.3485118238604988,0.37744360902255636,0.033381413822867745,78.47685644895802,56.27770933196318,16,0.538607466574463,0.5647058823529412,-0.21702488513300677,0.7998114068708895,0.6926975069989196
Metwally(Exp2),Protein_bar,20,0.500549612583445,0.437593984962406,0.08218984578519073,76.46988842380257,54.908634936132195,16,0.4599141092094403,0.3764705882352941,-0.24487158145281906,0.8089098817136103,0.7171158938310348
SimpleStats(Exp4),Cornflakes,20,0.5950984531871888,0.8105263157894737,0.30536508114835614,66.52614116630754,36.56580121041581,16,0.6951246498826762,0.75,-0.23550782606082588,0.8058618839648508,0.7218491315999686
SimpleStats(Exp4),PB_sandwich,20,0.21452437456585777,0.25112781954887214,-0.033494079577992775,81.14616952891409,54.10417540994577,16,0.5028243673892935,0.4852941176470588,-0.5284450530296332,0.8963193656142134,0.8125299362040105
SimpleStats(Exp4),Protein_bar,20,0.6243374585838654,0.5639097744360902,0.1733926303683383,72.5710929649968,49.05598070645617,16,0.5247880964817894,0.6441176470588235,-0.7399926490294513,0.956338348883262,0.8880103488736822
Healey(Exp3),Cornflakes,20,0.41867468974689764,0.39999999999999997,0.16877521632200754,72.77350111302597,51.20465661554821,16,0.07687986574613209,0.4147058823529412,-0.3321403168352026,0.8367830039781204,0.6812058724320655
Healey(Exp3),PB_sandwich,20,0.6801216259271712,0.5052631578947367,0.3398573670420657,64.85342517835805,47.57862240546619,16,0.20026892775580923,0.3941176470588235,-0.47964509162185665,0.8818945187767756,0.7690683156068714
Healey(Exp3),Protein_bar,20,0.46577098704116293,0.4601503759398496,0.2064122340507688,71.10686136507739,49.06913390951241,16,0.04939723964470034,0.22058823529411767,-0.5329721408188128,0.8976457843363501,0.8109460378490468
