model,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Wang(Exp1),20,0.15980893558714498,0.10390897839923656,-0.007745226848126396,80.12894086294581,63.51176288226431,16,0.2871375246615726,0.18151504736054436,-0.10165586005023486,0.7609582658999854,0.6284095094427085
GV_Baseline(Exp5),20,0.666669156211366,0.7593984962406014,0.13494031504688775,74.23984624675461,59.12420565057245,16,0.6785945160346996,0.6617647058823529,0.30668862521571616,0.6036733825955852,0.4426967451086763
GV_CorrLoss(Exp8),20,0.5809537866787375,0.7172932330827068,0.22530007256424833,70.25557378366078,55.16330025647079,16,0.6673012224773095,0.538235294117647,0.4139217206450144,0.5550290028099968,0.4098757064239882
GV_CorrLoss+VarMatch(v19),20,0.634765344118667,0.6872180451127818,0.26671248722306085,68.35199141324057,56.4746789097581,16,0.6626217753751129,0.5558823529411765,0.021532823358412556,0.7171516388497314,0.5050698970694536
Metwally(Exp2),20,0.6668931572274366,0.7218045112781954,0.2364810682876871,69.74674307534839,45.76286874297098,16,0.5928302175878029,0.5705882352941177,-0.11515379502093004,0.7656058580411036,0.6621416904152255
SimpleStats(Exp4),20,0.6059709819780816,0.7368421052631579,0.20423868217869978,71.20417181763194,44.51791117682045,16,0.6565687497064283,0.6970588235294117,-0.4374427265880019,0.8692268625889782,0.8066882159630165
Healey(Exp3),20,0.5447510452591646,0.4526315789473684,0.26263172379356436,68.54191781817943,48.45676320165015,16,0.18111215786742682,0.2058823529411765,-0.2832655778121138,0.821289247379861,0.7104801064140285
