target,fold_id,spearman_r,rmse,r2
sspg,0,0.5245098039215687,74.46417344855844,0.10166711159959818
sspg,1,0.2979767574174619,63.07512075428948,0.14561521038225156
sspg,2,-0.07489269913203475,80.301414764408,-1.8352315493434
sspg,3,0.8535690316726273,82.64129496507678,0.12891739776444866
sspg,4,0.6696101886397334,69.28218549532698,0.2188652401563802
di,0,0.5054945054945055,1.5274537484476955,-0.01748413784854419
di,1,0.4175824175824176,1.2841786269877036,-0.26717293690275246
di,2,0.7087912087912087,0.8768461141023945,0.27336944449494804
di,3,0.30069930069930073,0.9616001460657128,-0.808295240830089
di,4,0.4825174825174825,0.6017878283151046,-0.2314441131246867
homa_ir,0,0.3488721804511278,0.9619719342502554,0.048361370649855906
homa_ir,1,0.6616541353383457,0.9647735773082124,0.2605824563466097
homa_ir,2,0.4719298245614035,1.5773080450685983,-0.09027647601054833
homa_ir,3,0.5344449834375955,1.3938584536144203,0.13288873606877039
homa_ir,4,0.5035087719298245,1.124921860158213,0.25078835185159387
homa_b,0,0.4812030075187969,54.946771730375,0.0944350008537217
homa_b,1,0.08721804511278194,50.75073216265914,-0.24750487654563003
homa_b,2,0.47719298245614034,37.41667640960071,0.12870176182198512
homa_b,3,0.34912280701754383,56.31347971472985,0.015205151080832313
homa_b,4,0.18771929824561404,55.96958821523866,-0.1487562967456839
