meal_type,n_sspg,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,n_di,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Cornflakes,20,0.3321105631396568,0.5187969924812029,-1.2319672286347942,119.24987548756965,92.2997615814209,16,0.5835464290828605,0.6529411764705881,-9.110935501202365,2.3053322958746647,2.220924535443567
PB_sandwich,20,0.11472736781519646,0.2601503759398496,-1.389734699269559,123.39253093058811,94.50366401672363,16,0.49831276390951623,0.55,-9.446177505823497,2.34323888192178,2.2482847810290085
Protein_bar,20,0.3544156069808855,0.5263157894736841,-1.4330205204902735,124.50503460583303,97.74042072296143,16,0.628250480718595,0.538235294117647,-9.520626040379565,2.351574035218516,2.2587681502602326
