feature,importance
tau_m,3.0143216462018465
Gb,2.475625422463756
z_init_0,2.0635739342564228
mi,0.2134857394125729
z_init_3,0.13903483816563453
p2,0.002607492813428319
si,0.0014632165760409073
sg,0.0012402095571697957
z_init_1,0.0012121800515652859
z_init_2,0.0010746083054200995
