experiment,sspg_n,sspg_pearson_r,sspg_r2,sspg_rmse,di_n,di_pearson_r,di_r2,di_rmse
Exp1_GradientDetach_ConfigC,20,0.5673399833512204,0.22402789488416108,70.31323540646203,16,0.6273131250454012,-0.2054548897434183,0.7960005098707595
Exp2_UnbindAndIdent_ConfigC,20,0.4813936720422909,0.11534723358748067,75.07588274968256,16,0.644785162450028,-0.652076855568664,0.9318649735086018
Exp3_PureMechanism10D,20,0.5435489899844872,0.20098071975945853,71.34978304239307,16,0.6400908725406387,-0.06231711836195819,0.7472483321327197
