feature,importance
z_init_3,0.03607471703963867
z_nonseq_8,0.02399304762118282
z_nonseq_0,0.021976091970939582
tau_m,0.0200651876121344
z_nonseq_1,0.019881388634511315
z_nonseq_10,0.018886607529941278
z_init_0,0.01818631284171594
z_nonseq_7,0.016394305147816434
z_nonseq_4,0.015485930038707704
z_nonseq_3,0.013663707822664068
z_nonseq_14,0.012849477600002027
Gb,0.01104296271794943
z_nonseq_11,0.009654468381448207
z_nonseq_6,0.004781209443113132
z_nonseq_2,0.0016682521702942427
z_nonseq_13,0.0014641525342234394
sg,0.0011019786552386793
z_init_1,0.0010312227838207885
z_nonseq_9,0.0006358105540742231
p2,0.0006290660035677419
z_nonseq_5,0.0004318563395986442
z_nonseq_15,0.00032329070620794857
z_init_2,0.00025887863931622375
z_nonseq_12,0.0002492632712160085
mi,4.0619000071244855e-05
si,1.396643184328041e-05
