feature,importance
z_nonseq_2,7.330361699367192
z_nonseq_12,6.369990495746524
z_nonseq_3,6.14589667099215
z_nonseq_1,5.765615058283238
z_nonseq_11,5.49514427405169
z_nonseq_0,4.952125791261088
z_nonseq_9,3.5757688332135973
z_nonseq_4,3.2468770390458572
z_nonseq_6,2.4915615534079607
z_nonseq_5,1.0172610389654577
z_nonseq_15,0.4196987050397187
z_nonseq_14,0.299594414452997
z_init_0,0.1607976024660331
mi,0.10825041160480474
z_nonseq_10,0.059448585590055884
si,0.0440778562064178
z_nonseq_8,0.027135145801208904
z_nonseq_7,0.026580075409523642
sg,0.011938848775481408
z_nonseq_13,0.009991078901916804
Gb,0.007741701950737812
z_init_2,0.0018889423348339325
z_init_3,0.0
z_init_1,0.0
p2,0.0
tau_m,0.0
