target,model,n,spearman,r2,rmse
sspg_true,LOOCV_Ridge_median26D,20.0,0.7097744360902255,0.21651618969509057,70.65274517381239
sspg_true,LOOCV_Ridge_median26D_plus_meal_context,20.0,0.6872180451127818,0.21259580106964104,70.82929035819147
di_true,LOOCV_Ridge_median26D,16.0,0.44705882352941173,0.23218752703846657,0.635280384518172
di_true,LOOCV_Ridge_median26D_plus_meal_context,16.0,0.4264705882352941,0.21551018675416234,0.642142654091027
