model,n,spearman,r2,rmse
D5_LOOCV_pre_window_CGM_time_only,1369.0,0.5118707825371653,0.24753694608523513,1.108271273645344
D5_LOOCV_pre_window_CGM_time_plus_wearable_pre,1369.0,0.5011724077806872,0.23804186463252708,1.1152418064943093
D5_LOOCV_pre_window_CGM_time_plus_wearable_post,1369.0,0.5153106148895831,0.25523292859039104,1.102589162612588
