meal_type,n,sspg_pearson_r,di_pearson_r
Rice,82,-0.14750792769614185,-0.11634203696363415
Bread,67,0.03342647105166821,-0.10508748339980041
Potatoes,60,0.058273868622571626,-0.1514865927381335
Grapes,65,-0.3542476872217275,-0.11627078565733372
