   gold param  spearman_r  p_value  n
   sspg    si   -0.085714 0.871743  6
   sspg    mi   -0.257143 0.622787  6
   sspg tau_m    0.257143 0.622787  6
   sspg    sg   -0.142857 0.787172  6
     di    si    0.071429 0.866526  8
     di    mi    0.619048 0.101733  8
     di tau_m    0.523810 0.182721  8
     di    sg   -0.547619 0.160026  8
homa_ir    si    0.078788 0.828717 10
homa_ir    mi    0.103030 0.776998 10
homa_ir tau_m    0.406061 0.244282 10
homa_ir    sg   -0.296970 0.404702 10
 homa_b    si   -0.115152 0.751420 10
 homa_b    mi    0.006061 0.986743 10
 homa_b tau_m    0.260606 0.467089 10
 homa_b    sg   -0.236364 0.510885 10
