target,fold_id,spearman_r,rmse,r2
sspg,0,0.3137254901960785,87.89147844179462,-0.25151509764527646
sspg,1,0.2513795690147312,67.41187532338412,0.024089153978058886
sspg,2,0.03928797331516578,76.57938917522847,-1.5784928716549946
sspg,3,0.791758860413575,86.852955378298,0.037868764839582236
sspg,4,0.7108169694791018,64.85154398096928,0.3155788109747476
di,0,0.5164835164835164,1.5571602660558388,-0.057445849486913
di,1,0.4010989010989011,1.0102124147579694,0.21582965101326057
di,2,0.6098901098901099,0.9258331320270312,0.18991175550910488
di,3,-0.16083916083916086,1.055934346661345,-1.180490159688481
di,4,0.4125874125874127,0.6805118692550883,-0.5747053999915714
homa_ir,0,0.31127819548872177,1.0930217296618816,-0.22858398986563477
homa_ir,1,0.6736842105263157,0.9454386428244671,0.2899226700615626
homa_ir,2,0.5210526315789473,1.5145466677950625,-0.005238062676067523
homa_ir,3,0.5677929462793502,1.408085843258074,0.1150968411916029
homa_ir,4,0.4859649122807017,1.118849462315087,0.2588551022373995
homa_b,0,0.33233082706766914,55.271234119519015,0.08370864561087599
homa_b,1,0.24812030075187969,45.69831278561825,-0.011481536714602836
homa_b,2,0.28596491228070176,39.434448150009885,0.03219479147768389
homa_b,3,0.25789473684210523,58.31256755305862,-0.05595489717214375
homa_b,4,0.28947368421052627,52.200164000638715,0.0007655087411081452
