feature,importance
z_init_3,6.381361267251414
z_nonseq_6,1.8106670597146703
z_nonseq_10,1.5497046854499856
z_nonseq_7,1.1890421371659408
z_nonseq_14,1.1434123942648748
Gb,1.0900936888289663
z_nonseq_3,0.9867319591422938
z_nonseq_5,0.6849572819073148
z_nonseq_4,0.5034858191829983
z_nonseq_12,0.47636096945485035
z_nonseq_9,0.41635146564568176
z_nonseq_13,0.3265748480745943
z_nonseq_1,0.30121551141300507
z_nonseq_15,0.26288980374566323
z_nonseq_2,0.21169520467767797
tau_m,0.14254183560209785
z_nonseq_11,0.13493040657282648
p2,0.12065433199404862
z_nonseq_8,0.10815042600957851
z_init_2,0.08468440189623284
z_nonseq_0,0.06346038707732556
si,0.05824035961402304
z_init_1,0.0547073614427358
z_init_0,0.052155467021691014
mi,0.03961111376927232
sg,0.01739311278525653
