config,sspg_n,sspg_pearson_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_r2,di_rmse,di_mae
Config_A_10D,20,0.6533106222528562,0.2984497986923109,66.85646414215816,47.33977392250601,16,0.5642336812422875,-0.1252521815122818,0.7690645556728458,0.6909514689698864
Config_B_16D_Recon,20,0.5891229651880866,0.25117509346250066,69.0723398114062,48.58422582561763,16,0.5838413508088385,0.004390645916763192,0.7234064032238595,0.6335656334726673
Config_C_16D_ODEHybrid,20,0.7496869663669143,0.3347957026057573,65.10158323718355,45.84872258303431,16,0.6548430548308486,-0.10727682131312699,0.7628971085746544,0.6957644738735584
Config_D_26D_Original,20,0.8219987641646416,0.11840588170828603,74.94598458804846,50.669089213129254,16,0.6714938477784141,-0.2228054598093656,0.8017086123626146,0.7317884094031877
