target,fold_id,spearman_r,rmse,r2
sspg,0,0.4534313725490197,80.75424755004289,-0.0565092480346292
sspg,1,0.2244022494131503,72.66527825130946,-0.13394295896030695
sspg,2,0.12031941827769517,71.17676060294208,-1.2275044291533463
sspg,3,0.7682121285053645,81.02536770317255,0.16264979040828753
sspg,4,0.5621782243085235,70.47840393434683,0.19165840519658506
di,0,0.4010989010989011,1.5839587308305547,-0.09415597036854839
di,1,0.4340659340659341,0.9856088835188127,0.2535611545006885
di,2,0.4340659340659341,0.9852860181087283,0.08253071714172255
di,3,-0.2027972027972028,1.0268632927991104,-1.0620802225332144
di,4,0.44055944055944063,0.7159571261477073,-0.7430182733394601
homa_ir,0,0.30225563909774433,1.0984894184016378,-0.2409063735474728
homa_ir,1,0.5909774436090225,0.999008576136923,0.20717491623457363
homa_ir,2,0.6649122807017543,1.4425790793430435,0.08802514485498325
homa_ir,3,0.6037736430296645,1.3708610616110635,0.16126577965262234
homa_ir,4,0.487719298245614,1.0853203762318222,0.3026099905173043
homa_b,0,0.23157894736842105,57.97480097689097,-0.008123638132859101
homa_b,1,0.20150375939849624,46.53032041916892,-0.048647955092353756
homa_b,2,0.5859649122807017,37.0750838162462,0.1445380392710458
homa_b,3,0.30000000000000004,57.68659338208083,-0.033405636780659
homa_b,4,0.5298245614035089,49.784848937625306,0.09109588655547263
