model,ir_auroc,ir_auroc_ci_lo,ir_auroc_ci_hi,ir_accuracy,ir_f1,decomp_auroc,decomp_auroc_ci_lo,decomp_auroc_ci_hi,decomp_accuracy,decomp_f1
Wang(Exp1),0.4829545454545454,0.34609375,0.655,0.2666666666666666,0.4210526315789474,0.536,0.3632836990595611,0.8148148148148147,0.8333333333333334,0.0
GV_Baseline(Exp5),0.9034090909090908,0.7391304347826088,1.0,0.3,0.4324324324324324,0.928,0.8194444444444445,1.0,0.8333333333333334,0.2857142857142857
GV_CorrLoss(Exp8),0.8920454545454546,0.7307692307692308,1.0,0.5333333333333333,0.5333333333333333,0.92,0.8076923076923077,1.0,0.8333333333333334,0.4444444444444445
GV_CorrLoss+VarMatch(v19),0.8636363636363636,0.6760732323232324,0.992,0.5,0.5161290322580645,0.928,0.8194444444444444,1.0,0.8333333333333334,0.6666666666666666
Metwally(Exp2),0.8295454545454546,0.6296296296296297,0.9807692307692308,0.8333333333333334,0.6153846153846154,0.864,0.6865392080745342,1.0,0.8333333333333334,0.0
SimpleStats(Exp4),0.8863636363636362,0.7307692307692307,1.0,0.8666666666666667,0.7142857142857143,0.92,0.7928551724137931,1.0,0.8333333333333334,0.0
Healey(Exp3),0.7670454545454546,0.5555555555555556,0.9440993788819876,0.7666666666666667,0.5882352941176471,0.7679999999999999,0.5178571428571428,0.9807692307692308,0.8333333333333334,0.0
