feature_set,target,model,cv_spearman,cv_r2,cv_rmse,test_spearman,test_r2,test_rmse,test_mae
10D,sspg,RidgeCV,0.006674990888272266,-0.13256985641337637,79.19907283361292,0.6090225563909774,0.0823606212534097,76.46277377788587,60.42584328453451
10D,sspg,RidgeCV_YJTarget,-0.01337399253513544,-0.19464193545460517,81.34043225386303,0.7563909774436091,0.22727387634357998,70.16601707131558,54.129760205876686
10D,sspg,GBR_small,0.08158855769190346,-0.3779220499971019,87.35744492676709,-0.5212486265573211,-0.9045508763175851,110.15654768683626,97.53707651493275
10D,sspg,GBR_medium,0.013878218465544497,-0.5029362408602727,91.234243766007,-0.5639097744360902,-0.9873146089352278,112.52456428668816,99.80718349025004
10D,sspg,RF_mid,0.0636044995073138,-0.22627803259597767,82.41040953263348,-0.44060150375939844,-0.4846130316446795,97.25695352270574,83.77391132660772
10D,di,RidgeCV,0.37337237632748577,0.05667210690713076,1.0914847404474022,0.6470588235294118,0.2934055097922138,0.6094288193293353,0.45429844421110827
10D,di,RidgeCV_YJTarget,0.34361011439343575,0.0006550996538468024,1.1234248614711912,0.6294117647058822,0.22273942502158428,0.6391770664892436,0.48082195159071817
10D,di,GBR_small,0.39137374443275796,0.11186672963619171,1.0590717898920874,-0.1507780711705579,-1.466767722270112,1.1386807873095675,0.8564358712793559
10D,di,GBR_medium,0.2897500210224613,-0.014821636380710768,1.1320906128538835,-0.24576901429194614,-1.0690731625573417,1.0428594676445466,0.86039098219227
10D,di,RF_mid,0.280269300487018,0.017788126018577044,1.1137530858162525,-0.1411764705882353,-0.48039466151866717,0.882117868919829,0.6973057942473098
16D,sspg,RidgeCV,0.22281983972362102,-0.0762155652121077,77.20354322936845,0.7518796992481201,0.04890692324056933,77.84407055105328,49.97409796351086
16D,sspg,RidgeCV_YJTarget,0.24390128576643771,-0.13600859741392313,79.319214953395,0.675187969924812,-0.2455555868927275,89.08315391121732,55.02768767608946
16D,sspg,GBR_small,-0.02016903721636225,-0.4228333502010011,88.76967221142473,-0.3115125035350633,-0.5372112799601012,98.96481308025491,87.64904849224487
16D,sspg,GBR_medium,0.038153095400951915,-0.3244840047819544,85.64676369316338,-0.3542685470541099,-0.5813466543743881,100.37546482590025,89.89414516885043
16D,sspg,RF_mid,0.0023770651004998357,-0.223422692606015,82.31440892398935,-0.09624060150375939,-0.1233316936019817,84.59954621300463,71.01845457250214
16D,di,RidgeCV,0.26522015675101035,-0.02119961397380843,1.1356425371518712,0.4764705882352941,0.0781677748786822,0.6960874558529734,0.5327864141786249
16D,di,RidgeCV_YJTarget,0.2765970213935424,-0.08306111168605002,1.1695338912447102,0.5441176470588236,-0.08504390504362536,0.7551991984278685,0.5834678462961073
16D,di,GBR_small,-0.03674679275889564,-0.6109675854886432,1.4263619051500083,-0.018133592667950057,-0.17324598621489007,0.7852942237645717,0.6436893476481045
16D,di,GBR_medium,0.048747704829077115,-0.5219606504560672,1.386398380419068,-0.14927035850663303,-0.5214412631995582,0.8942634066957639,0.7573432595535121
16D,di,RF_mid,0.04495541661489977,-0.36093690168752146,1.3110079502500538,0.44705882352941173,0.0335080031981998,0.7127496217616192,0.569946482976158
26D,sspg,RidgeCV,0.022017865627862114,-0.14609333270847613,79.67050888247446,0.7789473684210525,0.16035103605407475,73.14133881731092,59.047502000990505
26D,sspg,RidgeCV_YJTarget,0.03625624547227023,-0.23667766124268486,82.75911848742146,0.7909774436090224,0.225208843157781,70.25971034375839,51.55646373338792
26D,sspg,GBR_small,0.006530926336726822,-0.5096889533537432,91.43897239616636,-0.4355020992448613,-0.7892244757352829,106.7693116127111,94.2744514859764
26D,sspg,GBR_medium,-0.019064542321180503,-0.4736981065420851,90.34244934582098,-0.4270676691729323,-0.9679367639498095,111.97461991073433,100.48886949151483
26D,sspg,RF_mid,0.044852097047815086,-0.20920943876798037,81.83486350521518,-0.3142857142857143,-0.316261971033871,91.5767432050742,77.87350047960516
26D,di,RidgeCV,0.3420739976484525,0.021351346961681394,1.1117310403713903,0.6088235294117647,0.2073516310995026,0.6454731026249662,0.4733235798100889
26D,di,RidgeCV_YJTarget,0.3527308075667736,-0.010986354823649291,1.1299493516956463,0.6382352941176471,0.04625702456586467,0.7080330665660588,0.5373769771981806
26D,di,GBR_small,0.25967573537458655,-0.16286834208994705,1.2118576369012541,-0.08265738931707556,-0.8687412918398123,0.9910885422751997,0.759269876407308
26D,di,GBR_medium,0.24112232531408598,-0.16348617616020356,1.2121795252379193,-0.10743196433120998,-1.3888534659464074,1.1205535601711585,0.8970196326612038
26D,di,RF_mid,0.2088638736694382,-0.11043980265722464,1.1842239509344592,-0.1764705882352941,-0.39786470618321834,0.8571768518146362,0.6943747788586725
