model,cv_spearman,cv_pearson,test_pearson,test_spearman,test_r2,test_rmse
RidgeCV,0.3613619167931569,0.2498867683232802,0.5663774033709184,0.6796992481203006,0.21581664814543822,70.68427965022329
GBR,0.07476950225208576,0.02532262051931488,0.6823932239470996,0.6280127603937397,0.4310854261439663,60.205692624609405
RF,0.04902996904263299,0.04758659119053716,0.6512288353884285,0.5699248120300752,0.3889872011627069,62.39347598292666
