model,sspg_n,sspg_pearson_r,sspg_spearman_ref,sspg_r2,sspg_rmse_ref,sspg_mae,di_n,di_pearson_r,di_spearman_ref,di_r2,di_rmse_ref,di_mae
Wang(Exp1),20,0.1598089355871449,0.1039089783992365,-0.0077452268481263,80.12894086294581,63.51176288226431,16,0.2871375246615726,0.1815150473605443,-0.1016558600502348,0.7609582658999854,0.6284095094427085
GV_CorrLoss(Exp8),20,0.5809537866787375,0.7172932330827068,0.2253000725642483,70.25557378366078,55.16330025647079,16,0.6673012224773095,0.538235294117647,0.4139217206450144,0.5550290028099968,0.4098757064239882
Metwally(Exp2),20,0.6668931572274366,0.7218045112781954,0.2364810682876871,69.74674307534839,45.76286874297098,16,0.5928302175878029,0.5705882352941177,-0.11515379502093,0.7656058580411036,0.6621416904152255
Healey(Exp3),20,0.5447510452591646,0.4526315789473684,0.2626317237935643,68.54191781817943,48.45676320165015,16,0.1811121578674268,0.2058823529411765,-0.2832655778121138,0.821289247379861,0.7104801064140285
