target,fold_id,spearman_r,rmse,r2
sspg,0,0.5073529411764706,74.6948424318003,0.09609292806748604
sspg,1,0.27467816321609656,64.05302687815934,0.11891736511753048
sspg,2,0.13014141160648662,73.1639864212606,-1.3536227874471578
sspg,3,0.7844005066922591,84.34265838988428,0.09268167374868896
sspg,4,0.5224431142134185,71.79463347696594,0.16118387327497252
di,0,0.6978021978021978,1.4622575260639665,0.06752061166402512
di,1,0.4945054945054945,1.0704443719524104,0.11953272210131516
di,2,0.5604395604395606,0.932114461342929,0.178882354784904
di,3,-0.2447552447552448,0.9443956973954535,-0.7441679331136675
di,4,0.2797202797202798,0.7735538556765149,-1.0347404473177062
homa_ir,0,0.12932330827067667,1.2073137345964584,-0.49895136574707033
homa_ir,1,0.6060150375939849,0.9900851982919175,0.22127505835306294
homa_ir,2,0.5877192982456141,1.5138751455199306,-0.004346851972413246
homa_ir,3,0.4756472594797648,1.434598057809707,0.08146024382567263
homa_ir,4,0.4842105263157894,1.1891590295544554,0.16277982742747
homa_b,0,0.07969924812030074,58.45327462750179,-0.024832659360717102
homa_b,1,-0.3082706766917293,58.10927015240071,-0.6354921706444707
homa_b,2,0.18771929824561404,39.635109530571526,0.022320418556441735
homa_b,3,0.22280701754385965,57.50009055454197,-0.026734363422326934
homa_b,4,0.3543859649122807,52.33002824593139,-0.004212492799035017
