experiment,mode,sspg_r,sspg_rmse,di_r,di_rmse,si_cv,mi_cv,Gb_cv
v15_Exp1_Baseline_MultiMeal,ridge,0.4704995381104997,81.68650613651273,0.32592986025989495,2.1044812342479715,0.2392107325565446,0.2011967652767491,0.32904892420225534
v15_Exp1_Baseline_MultiMeal,e2e,-0.36737759196990616,85.57553263493948,0.6097234459250488,0.9311125794595898,0.2392107325565446,0.2011967652767491,0.32904892420225534
v15_Exp2_ConfigD_Narrow_MultiMeal,ridge,0.20753383421501487,86.47115380945203,0.4730322718365961,1.134549261729244,0.20489191468700377,0.5259854925281832,0.30449959632138807
v15_Exp2_ConfigD_Narrow_MultiMeal,e2e,0.6492870815960652,71.61845509820945,0.6518863256922698,0.604855601637005,0.20489191468700377,0.5259854925281832,0.30449959632138807
v15_Exp3_ConfigD_Wide_TwoPhase_OneMeal,ridge,0.4259926514770133,91.04536250984009,0.6466099011632582,1.3459874059787833,0.2471148679151787,0.1814108410344565,0.3090608412644715
v15_Exp3_ConfigD_Wide_TwoPhase_OneMeal,e2e,0.6660229937135946,74.23709084744526,0.6801560397756926,0.6029376428649018,0.2471148679151787,0.1814108410344565,0.3090608412644715
v15_Exp4_ConfigD_Wide_TwoPhase_MultiMeal,ridge,0.3901609402215348,81.60620081365946,0.6664135391130505,0.7064337867153623,0.2765832836913465,0.18249442044815478,0.27713146439401215
v15_Exp4_ConfigD_Wide_TwoPhase_MultiMeal,e2e,0.4554340601934258,75.345994705968,0.5782158378341871,0.6682113642751614,0.2765832836913465,0.18249442044815478,0.27713146439401215
v15_Exp5_ConfigD_Wide_TwoPhase_16DFinetune,ridge,0.3904465825312381,81.58702493299315,0.666374254300932,0.7064897206668821,0.2765832836913465,0.18249442044815478,0.27713146439401215
v15_Exp5_ConfigD_Wide_TwoPhase_16DFinetune,e2e,0.4661094496909792,74.92318526058969,0.6002811586794146,0.673745220547271,0.2765832836913465,0.18249442044815478,0.27713146439401215
