target,alpha,oof_hard_rate,oof_gate_mean,oof_corr_absres_gate
sspg,1.2,0.25396825396825395,0.253967432016924,0.25052803379416283
di,0.0,0.25396825396825395,0.25396493385741403,0.22134216589861752
