target,model,n,spearman,pearson,r2,rmse,mae
sspg,Ridge10D,20,0.6090225563909774,0.5264995677902717,0.08379987424442858,76.40278699907793,60.37233468180425
sspg,Ridge26D,20,0.7684210526315788,0.6444392965586491,0.1785018888130777,72.34646443196266,57.91559844442668
sspg,Anchored10D_plusGated16D,20,0.6345864661654135,0.5444304971184266,0.08385696600576575,76.4004064942554,60.438407441977276
di,Ridge10D,16,0.6411764705882352,0.6150075481848182,0.29690784624385114,0.6079165826300906,0.45873939043057227
di,Ridge26D,16,0.6088235294117647,0.6146666423805477,0.20611337364759919,0.6459770776579189,0.4729222185305013
di,Anchored10D_plusGated16D,16,0.6411764705882352,0.6150075481848182,0.29690784624385114,0.6079165826300906,0.45873939043057227
