target,unc_bin,n,gate_mean,correction_mag_mean
sspg,low,116,0.42109381415486546,3.030042102817652
sspg,mid,115,0.36333213489552374,2.5870451895426996
sspg,high,114,0.318763560269413,1.9855566533868663
di,low,116,0.15719489533745626,0.0
di,mid,115,0.21456441164445422,0.0
di,high,114,0.26016889185690195,0.0
