target,fold_id,spearman_r,rmse,r2
sspg,0,0.5073529411764706,66.45206228203756,0.28458263038878495
sspg,1,0.3813611998223483,63.82289039987069,0.1252372846949118
sspg,2,0.3044817931925347,62.69931768703999,-0.7284935716207901
sspg,3,0.8050038971119434,67.50629611253233,0.41876243815303094
sspg,4,0.6813835545938387,67.28772028633642,0.2631918258746845
di,0,0.6568627450980393,0.7888006763302027,0.21706473506267532
di,1,0.7132352941176472,0.8777419770252839,0.30475568470589687
di,2,0.8259803921568629,1.5369167894013511,0.11550903415671165
di,3,0.7794117647058825,0.7346452046055185,0.4390577242059006
di,4,0.6715686274509804,1.1065997748375354,0.2175663849359326
homa_ir,0,0.6360902255639098,0.9166265045128301,0.13596351533898332
homa_ir,1,0.6796992481203006,0.9690321468803421,0.2540403810672779
homa_ir,2,0.3473684210526316,1.6077144612932919,-0.13271705954393886
homa_ir,3,0.6125494227248632,1.4080682243259752,0.1151189860788635
homa_ir,4,0.5614035087719299,1.1455194997276132,0.22310060904836326
homa_b,0,0.19849624060150375,58.42835199774521,-0.023958933122290027
homa_b,1,0.38496240601503756,47.67282505352598,-0.10077714818452543
homa_b,2,0.2175438596491228,38.915990842558855,0.05747559386972212
homa_b,3,0.11578947368421051,57.89182118134494,-0.040771674884207965
homa_b,4,0.6368421052631579,51.63429161653824,0.0223123529584921
