   gold param  spearman_r  p_value  n
   sspg    si   -0.674775 0.032312 10
   sspg    mi   -0.534957 0.111088 10
   sspg tau_m    0.145897 0.687557 10
   sspg    sg    0.097265 0.789235 10
     di    si    0.485714 0.328723  6
     di    mi    0.542857 0.265703  6
     di tau_m   -0.657143 0.156175  6
     di    sg   -0.714286 0.110787  6
homa_ir    si   -0.333333 0.380713  9
homa_ir    mi   -0.500000 0.170471  9
homa_ir tau_m   -0.083333 0.831214  9
homa_ir    sg    0.066667 0.864690  9
 homa_b    si    0.733333 0.024554  9
 homa_b    mi    0.766667 0.015944  9
 homa_b tau_m   -0.083333 0.831214  9
 homa_b    sg   -0.266667 0.487922  9
