model,sspg_n,sspg_spearman,sspg_pearson,sspg_r2,sspg_rmse,sspg_mae,di_n,di_spearman,di_pearson,di_r2,di_rmse,di_mae,ir_auc,decomp_auc
Base26D,20,0.7789473684210525,0.646988206367995,0.16035103605407053,73.14133881731111,59.04750200099072,16,0.6088235294117647,0.6156322741242415,0.2073516310995005,0.6454731026249669,0.47332357981009027,0.9034090909090908,0.9600000000000001
Calibrated26D,20,0.7789473684210525,0.6469882063679948,0.07477759547527862,76.77805354362897,61.061494733395115,16,0.6088235294117647,0.6156322741242416,0.20763088625299186,0.6453593904316556,0.5038014263238939,0.9034090909090908,0.9600000000000001
Calibrated26D_plus16DResidual,20,0.7804511278195487,0.6468000654493213,0.0677330074916902,77.0697910297426,61.608429448195636,16,0.6147058823529412,0.6048332251933788,0.20067939577890892,0.6481840923744349,0.5003732751007552,0.9034090909090909,0.9440000000000001
