Meal,Model,SSPG ρ,SSPG RMSE,DI ρ,DI RMSE
Cornflakes,Wang(Exp1),,80.13683896910558,,0.7614663866312082
PB_sandwich,Wang(Exp1),0.10390897839923656,80.09402336814728,0.18151504736054436,0.7589711359582113
Protein_bar,Wang(Exp1),,80.13683896910558,,0.7614663866312082
