meal_type,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Cornflakes,20,0.5602970681611786,0.7473684210526315,0.24329860766887168,69.4346569154001,45.02480492521649,16,0.5854865576453967,0.5882352941176471,0.04183815215339959,0.7096713969454705,0.5955358597621875
PB_sandwich,20,0.3485118238604988,0.37744360902255636,0.033381413822867745,78.47685644895802,56.27770933196318,16,0.538607466574463,0.5647058823529412,-0.21702488513300677,0.7998114068708895,0.6926975069989196
Protein_bar,20,0.500549612583445,0.437593984962406,0.08218984578519073,76.46988842380257,54.908634936132195,16,0.4599141092094403,0.3764705882352941,-0.24487158145281906,0.8089098817136103,0.7171158938310348
