gold	param	spearman_r	p_value	n
sspg	si	-0.08571428571428573	0.8717434402332361	6
sspg	mi	0.028571428571428574	0.9571545189504373	6
sspg	tau_m	0.08571428571428573	0.8717434402332361	6
sspg	sg	0.48571428571428577	0.3287230320699709	6
di	si	0.19999999999999998	0.8	4
di	mi	-0.19999999999999998	0.8	4
di	tau_m	-0.6000000000000001	0.3999999999999999	4
di	sg	0.0	1.0	4
homa_ir	si	-0.5476190476190477	0.1600256425388966	8
homa_ir	mi	0.5000000000000001	0.20703124999999997	8
homa_ir	tau_m	0.38095238095238104	0.35181255311756476	8
homa_ir	sg	0.6666666666666669	0.07098765432098751	8
homa_b	si	-0.28571428571428575	0.4927262450169573	8
homa_b	mi	0.30952380952380953	0.4556448907375822	8
homa_b	tau_m	0.38095238095238104	0.35181255311756476	8
homa_b	sg	0.5714285714285715	0.13895995716070667	8
