   gold param  spearman_r  p_value  n
   sspg    si   -0.303953 0.393201 10
   sspg    mi   -0.346506 0.326657 10
   sspg tau_m    0.463415 0.177363 10
   sspg    sg    0.139818 0.700057 10
     di    si    0.142857 0.735765  8
     di    mi    0.690476 0.057990  8
     di tau_m    0.523810 0.182721  8
     di    sg    0.357143 0.385121  8
homa_ir    si   -0.333333 0.380713  9
homa_ir    mi    0.466667 0.205386  9
homa_ir tau_m    0.533333 0.139227  9
homa_ir    sg   -0.216667 0.575515  9
 homa_b    si    0.283333 0.460030  9
 homa_b    mi    0.233333 0.545699  9
 homa_b tau_m   -0.350000 0.355820  9
 homa_b    sg    0.300000 0.432845  9
