target,fold_id,spearman_r,rmse,r2
sspg,0,0.6225490196078433,72.7495192321184,0.14256183844225623
sspg,1,0.4242796628248634,62.436811461947514,0.16282016411846034
sspg,2,0.31921478318572194,53.902438210748656,-0.27749426769296504
sspg,3,0.793230531157838,74.79980538745812,0.28638158581075757
sspg,4,0.6372334322659442,60.06293931561851,0.4129217795126525
di,0,0.6053921568627452,1.0461934049916237,-0.3772578688156176
di,1,0.3995098039215687,1.0083736754649548,0.0824141483851345
di,2,0.573529411764706,1.5930568918353591,0.04971196058929661
di,3,0.3872549019607844,0.9395111172491758,0.08258312789302769
di,4,0.5318627450980392,1.2179615536799453,0.052163334958929886
homa_ir,0,0.5924812030075187,0.9058175039537899,0.15622106877460895
homa_ir,1,0.7368421052631579,0.9199076581334017,0.32775525227927826
homa_ir,2,0.45964912280701753,1.5669357349414008,-0.07598440027763331
homa_ir,3,0.4563405441503279,1.504383459814186,-0.010077229508460572
homa_ir,4,0.3666666666666667,1.1936645283827625,0.15642367103586896
homa_b,0,-0.09924812030075188,59.08953551161731,-0.04726458513172904
homa_b,1,0.21654135338345865,45.89966540057186,-0.020414607796426676
homa_b,2,0.4403508771929824,39.15755178493964,0.04573832586721904
homa_b,3,-0.3368421052631579,68.2314855114295,-0.4457416530872478
homa_b,4,-0.1789473684210526,55.946212518915786,-0.14779694108039676
