target,fold_id,spearman_r,rmse,r2
sspg,0,0.35294117647058826,80.45818265950606,-0.048776604559304326
sspg,1,0.18761499541099452,65.90028306640782,0.06736461920578596
sspg,2,0.09085343829132085,80.52954056705191,-1.8513634742134237
sspg,3,0.8182489338103116,88.55391666025267,-0.00018574604545174012
sspg,4,0.6298750785446283,71.13259240509318,0.17658252525047968
di,0,0.2802197802197803,1.6234533121566206,-0.14939980036427603
di,1,0.32967032967032966,1.1175176276382282,0.04039217923106808
di,2,0.5824175824175823,0.9369193880200926,0.17039502994228162
di,3,-0.18181818181818185,0.9708661173038488,-0.8433125819357754
di,4,0.1188811188811189,0.6919138042722449,-0.6279156504469086
homa_ir,0,0.29473684210526313,1.0662385507775423,-0.16911173873970986
homa_ir,1,0.6105263157894737,0.9934124263606832,0.2160323801077595
homa_ir,2,0.4982456140350877,1.5641433483633596,-0.07215286186668268
homa_ir,3,0.6643265229265349,1.3809274149310333,0.14890275604908687
homa_ir,4,0.39122807017543854,1.165430267904158,0.19585865039329398
homa_b,0,0.5263157894736841,52.60241771675723,0.17006003793762925
homa_b,1,-0.14436090225563908,49.25955853931521,-0.17527272842446018
homa_b,2,0.5894736842105263,35.42243477767863,0.2191039277693766
homa_b,3,0.4526315789473684,55.595875669249665,0.040143765051166014
homa_b,4,0.443859649122807,50.19644128600708,0.07600517524771355
