experiment,test_dataset,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,sspg_pvalue,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae,di_pvalue,d4_per_meal_rows,tau_m_mean,tau_m_std,tau_m_cv,tau_m_min,tau_m_max,Gb_mean,Gb_std,Gb_cv,Gb_min,Gb_max,si_mean,si_std,si_cv,si_min,si_max,mi_mean,mi_std,mi_cv,mi_min,mi_max,mean_max_abs_corr_16d_vs_10d,mechanism_10d_share_sspg,nonseq_16d_share_sspg,icc_sspg,icc_di
v16_Exp3_LODO_D4,D4,0.6660229937135946,0.7593984962406014,0.1350045269424072,74.23709084744526,59.09049937109531,0.0013464930444528,0.6801560397756926,0.6588235294117648,0.3083775712360764,0.6029376428649018,0.4413722698009944,0.0037405674545032,3.0,111.163895443299,48.01990346014691,0.4319739180093821,36.780426,174.09866,138.92134430927834,42.93514754490749,0.3090608412644716,80.986534,297.54355,0.0007183911621649,0.0001775276082985,0.2471148679151786,7.767018e-05,0.0009252325,1.805686141443299,0.3275710433775999,0.1814108410344565,0.26039347,2.237617,0.9022335251608292,91.31445031121896,8.685549688781041,0.5610757309427562,0.6043378762099336
v16_Exp1_LODO_D1,D1,0.3567912022054885,0.3481209957668987,-0.1860006430887393,82.10675686362332,66.90938901901245,0.0450125793255924,0.4593210124231991,0.3746677680477746,-1.347800141084451,1.4723029414137396,1.3063615009188654,0.0081801261732425,,190.12862526315791,5.116324916752534,0.0269098086066835,170.87286,195.84856,111.490198,23.1069221883158,0.2072551901490321,79.24577,188.19052,0.000625209543421,0.0001172506069683,0.1875350957950408,0.0004823792,0.0010607451,1.2534615684210524,0.1018565772376043,0.0812602308607735,1.0767154,1.5348632,0.869212082941323,,,,
v16_Exp2_LODO_D2,D2,-0.3896431738716274,-0.2156104800226125,-11.293885459991143,255.18877511422875,206.5650364045174,0.0302542087152395,0.2462356988039198,0.0943594202491373,-0.9474627021197934,1.754906654821138,1.4416577736835574,0.1817746639336729,,161.12018644067797,23.67567502558654,0.1469441883549093,22.47939,179.14394,186.188282220339,53.53769693327136,0.2875460060748522,96.06367,299.8992,0.0084203170761016,0.001714724995367,0.203641138861903,6.482459e-05,0.009368412,4.253616430169492,0.9738707108084116,0.2289512287971141,0.06635535,4.775593,0.9320209756864166,,,,
v16_Exp4_Orthogonality,D4,0.6330013166579426,0.7052631578947368,0.1508953908265636,73.55202374120452,57.98584650317467,0.0027383057384112,0.6723061834072698,0.6764705882352942,0.3135452214650495,0.6006809109749385,0.4380679594398732,0.0043290237365369,3.0,111.163895443299,48.01990346014691,0.4319739180093821,36.780426,174.09866,138.92134430927834,42.93514754490749,0.3090608412644716,80.986534,297.54355,0.0007183911621649,0.0001775276082985,0.2471148679151786,7.767018e-05,0.0009252325,1.805686141443299,0.3275710433775999,0.1814108410344565,0.26039347,2.237617,0.9116222173560744,87.487497535827,12.512502464173018,0.572897713973972,0.6402427537349146
v16_Exp5_DistMatch,D4,0.6391914066903734,0.732330827067669,0.1056198025081541,75.48751255856692,66.98620582447121,0.0024118943221172,0.6893758516109446,0.6588235294117648,0.293487588172317,0.6093934225185261,0.3859106145787617,0.0031334318983408,3.0,111.163895443299,48.01990346014691,0.4319739180093821,36.780426,174.09866,138.92134430927834,42.93514754490749,0.3090608412644716,80.986534,297.54355,0.0007183911621649,0.0001775276082985,0.2471148679151786,7.767018e-05,0.0009252325,1.805686141443299,0.3275710433775999,0.1814108410344565,0.26039347,2.237617,0.9022335251608292,,,0.5803196200014927,0.6383661837562962
