target,fold_id,spearman_r,rmse,r2
sspg,0,0.5269607843137256,73.40604156770468,0.12701624152040747
sspg,1,0.40833851942392924,65.4631554146821,0.07969623866701259
sspg,2,0.1497853982640695,77.30901165709332,-1.6278609512141022
sspg,3,0.7446653965971541,88.95138736807073,-0.009184483375676011
sspg,4,0.5401031631445762,72.86062785171285,0.1360897542741173
di,0,0.6208791208791209,1.493727727486989,0.026951705704502782
di,1,0.46703296703296704,1.2236213467818,-0.15048008090866327
di,2,0.6758241758241759,0.8345645975100736,0.341756152082512
di,3,0.1188811188811189,0.8511740716781449,-0.41682779951834004
di,4,0.1258741258741259,0.7070032321458692,-0.699693863237095
homa_ir,0,0.10225563909774435,1.0901441609725713,-0.22212358558359924
homa_ir,1,0.6390977443609022,0.9739645296592175,0.24642717158917893
homa_ir,2,0.6017543859649123,1.5078273218684168,0.003661707834361594
homa_ir,3,0.4782799933883244,1.4331822868783393,0.08327231960722548
homa_ir,4,0.531578947368421,1.0856938677636367,0.30212992198401134
homa_b,0,0.15037593984962402,57.875934170029346,-0.0046881807373895246
homa_b,1,-0.3082706766917293,49.22181110834587,-0.17347220362512106
homa_b,2,0.2824561403508772,39.33631473400402,0.037005603506193085
homa_b,3,0.2210526315789474,57.81556198149616,-0.03803152476664429
homa_b,4,-0.2368421052631579,53.199233742384735,-0.03784963153264598
