config,target,train_r_mean,train_r_std,d4_raw_r_mean,d4_raw_r_std,d4_raw_r2_mean,d4_raw_r2_std,d4_cal_r_mean,d4_cal_r_std,d4_cal_r2_mean,d4_cal_r2_std,d4_raw_rmse_mean,d4_cal_rmse_mean
Exp2_GV_Baseline,di,0.36890738470399376,0.01915221462056595,0.6578637152448409,0.03745296356085323,0.18491701082019324,0.11608698807105651,0.657863715244841,0.03745296356085332,0.05619868042303664,0.31817977750815435,0.6532308178632191,0.6968403462188563
Exp5_Finetune_16D,di,0.37491041068670944,0.029821471586483652,0.652932403744584,0.04880809213894296,0.10600508488175611,0.2041528491953136,0.652932403744584,0.04880809213894289,0.08811039197699984,0.2557433286275553,0.682086106574854,0.6870328192841035
Exp2_GV_Baseline,sspg,0.3507534981129245,0.029082197737453228,0.6227473524131095,0.10536694038646592,0.14064811769093302,0.0643648264950827,0.6227473524131093,0.10536694038646598,0.19628042454779904,0.10283963339523561,73.9527490407767,71.44642901026512
Exp5_Finetune_16D,sspg,0.33596263566167317,0.07661499023469513,0.6143496054939701,0.07949643098021424,0.13157679481417367,0.051850287993074,0.6143496054939701,0.07949643098021436,0.1814160011040392,0.08628525883027324,74.35737317797717,72.14140345451906
