feature,importance
z_init_0,22.721646381425316
Gb,22.29331686968884
z_init_3,7.092489636521509
tau_m,5.274516292504798
z_nonseq_12,1.7091175492391197
z_nonseq_6,1.301484138931876
z_nonseq_11,1.1717926762308326
z_nonseq_4,0.9708811325032171
z_nonseq_13,0.9651089348289892
z_nonseq_8,0.9154681222354877
z_nonseq_2,0.8397451850635219
z_nonseq_10,0.7749416065893998
z_nonseq_0,0.7192799140573403
z_nonseq_7,0.6263843925092809
z_init_1,0.40820188906308186
z_nonseq_1,0.40262717603170417
z_nonseq_3,0.394002028292614
sg,0.2705753291129289
z_nonseq_5,0.25340670297076145
z_nonseq_14,0.2515832520356101
z_nonseq_9,0.1934991155625855
z_nonseq_15,0.10827336149368694
z_init_2,0.08014613711028327
mi,0.07846562688916874
si,0.04246863132427409
p2,0.009779758471275463
