feature,importance
z_init_3,0.045893916732838436
z_init_0,0.027707771222056293
tau_m,0.023325029486918974
z_nonseq_11,0.021851223207898184
z_nonseq_9,0.021493107180292362
z_nonseq_14,0.01954583220677252
z_nonseq_7,0.018641169280662655
Gb,0.018247500928170252
z_nonseq_5,0.01684066847721605
z_nonseq_12,0.015630699870412323
z_nonseq_0,0.01360636510679515
z_nonseq_15,0.012674034695717708
z_nonseq_10,0.011207242908976971
z_nonseq_2,0.005779424028452946
z_nonseq_6,0.004567966527982678
z_nonseq_4,0.003454244213643417
z_nonseq_13,0.0030948344084973448
z_nonseq_8,0.001948039097758616
p2,0.0018831398060474584
z_init_2,0.0016790449568728147
z_nonseq_1,0.0014706390256684343
z_nonseq_3,0.0012779867454529017
mi,0.0011516590878809434
sg,0.00022634944879521595
z_init_1,0.00018716589986879207
si,0.00010452309104869385
