tier,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
Tier 1: CGM 统计特征,83,0.21993444039911864,0.3020145622437811,0.046893757158408156,74.0436228606458,61.43578292634318,79,0.15710305787464274,0.2128664366302602,0.012287225503406662,1.0537361550491064,0.8098646547651099
Tier 2: 6D ODE 参数,83,0.3702154157804591,0.39549850943627546,0.06763619922187392,73.23348553318272,58.32531121532851,79,0.23800461907094056,0.26362137063152874,-5.533581691198518,2.7101430126441475,1.8454306248109615
Tier 3: 26D 全潜变量,83,0.4436956135984879,0.43949527784545506,-0.041920901433538216,77.41665065526709,60.32328274854121,79,0.2175962610929831,0.27154498263028787,-1.7948740400889354,1.7725466183963108,1.2924308138292924
Tier 4: 26D + Demographics,83,0.4846116439980062,0.4962890065721698,0.08313375196461825,72.62229943109297,55.67439627481829,79,0.1874766417489287,0.29221209964087635,-2.072409856716641,1.8584724222541307,1.3523208337406907
