feature,mean_abs_shap,pct
Gb,0.262243987333906,38.98280233460504
tau_m,0.20157506509300063,29.96431299719495
z_init_0,0.09447459285428647,14.043732389531021
z_init_3,0.06346768289129623,9.43452760133848
z_nonseq_15,0.00682591694254133,1.0146786343082594
z_nonseq_2,0.004492734052102694,0.6678489191520325
z_nonseq_14,0.0037826218207923606,0.5622901033714087
z_nonseq_5,0.0028235513338649904,0.41972342111135286
z_nonseq_12,0.0027753987659510948,0.4125654989947212
sg,0.0027704541556304706,0.41183047826570407
z_init_2,0.0025697072585794834,0.38198927318571957
z_nonseq_0,0.002484713364151591,0.3693548550630569
mi,0.002438413841472712,0.3624723897713772
z_nonseq_1,0.002375410246863818,0.3531068493066462
z_nonseq_13,0.0022697251874933206,0.33739667108274896
si,0.0022365934607251376,0.33247161038359285
z_nonseq_9,0.0022014148442256755,0.3272422777024309
p2,0.002111682542165552,0.31390349106407434
z_nonseq_4,0.0015486966044196322,0.23021512988778012
z_nonseq_10,0.0014836146630458748,0.2205406413249778
z_nonseq_11,0.0014040735625498002,0.20871678587784653
z_nonseq_7,0.0010706912446260578,0.15915920732819563
z_init_1,0.0009866626141400517,0.14666827655039008
z_nonseq_6,0.0008475493920486373,0.12598897215888585
z_nonseq_8,0.0008079950455442169,0.1201091833144118
z_nonseq_3,0.000648176459491495,0.09635200812489388
