feature,importance
z_nonseq_0,1.8100175047639837
z_nonseq_13,1.4168471824449955
z_nonseq_2,1.2526449990878312
z_nonseq_10,1.232463953490969
z_nonseq_3,1.2126050862829063
z_nonseq_4,1.1978037772946322
z_nonseq_1,1.1699437854996104
z_nonseq_7,1.1553650534364006
z_nonseq_11,1.0210763710753785
z_nonseq_14,0.8955845799306128
z_nonseq_6,0.8167690379601006
z_nonseq_8,0.6978198686198347
z_nonseq_5,0.6665949806890455
z_nonseq_12,0.5511390360351954
z_init_3,0.4297672885772539
z_init_2,0.17759903517491213
Gb,0.17534104153923272
z_nonseq_9,0.158736958246567
z_nonseq_15,0.12443123646449895
p2,0.12379044248397231
z_init_0,0.11487262768529187
tau_m,0.11415729278242472
si,0.0933171577449471
z_init_1,0.0651228476488231
mi,0.026067189158433746
sg,0.025870130001513423
