feature,mean_abs_shap,pct
Gb,0.1306300963730727,37.515987900925246
tau_m,0.11359266382833907,32.62296453986453
z_init_3,0.03864915387906219,11.099748293585284
z_init_0,0.023992956473165187,6.8905978771078695
z_nonseq_6,0.0038290028456421845,1.0996610154789064
z_nonseq_4,0.0033409867945599285,0.9595064509781546
z_init_1,0.002812686109707039,0.8077824405756251
si,0.002493516871982954,0.7161194196236437
z_nonseq_7,0.0024549467151822922,0.7050423587008846
z_nonseq_5,0.002341100745657965,0.6723466466572688
z_nonseq_2,0.0023346068232368332,0.6704816406460588
z_nonseq_15,0.0022844180692281157,0.6560678053934523
z_nonseq_0,0.002125475122786211,0.6104205784433767
z_nonseq_9,0.002110782359812915,0.606200926669079
sg,0.0020877988072069585,0.5996002220426137
z_nonseq_3,0.0017909823425986682,0.5143567505593039
p2,0.0015073060340088868,0.4328870337305017
z_nonseq_12,0.0014024474655567225,0.40277243614094776
z_nonseq_10,0.0013904180984821454,0.39931769177379406
z_nonseq_14,0.0012218731258409922,0.3509128346242689
mi,0.0012194635618528811,0.3502208258457841
z_nonseq_1,0.0012111558364304178,0.3478349091612919
z_nonseq_11,0.000978575069509379,0.2810394502275555
z_init_2,0.000969878143068624,0.2785417579178539
z_nonseq_8,0.0007502914890322641,0.21547811114149837
z_nonseq_13,0.0006758883388543887,0.1941100821851998
